nombre,direccion,telefono,instagram,facebook
Full ejes Medellín,"Cra. 48 # 39-24, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573016760173,https://www.instagram.com/tallermotortek/,http://facebook.com/J3Automotriz
Multicar San Lucas,"Carulla San Lucas, Cl. 20 Sur #27-124, El Poblado, Medellín, El Poblado, Medellín, Antioquia",'+573108396898,https://www.instagram.com/multicar.sas/,https://www.facebook.com/MulticarMedellin/
Taller de Latonería y Pintura en Medellin - Cars System & Spa,"Cra. 65 #31 - 35, Medellín, Belén, Medellín, Antioquia",'+573114009045,https://www.instagram.com/carssystem__,https://www.facebook.com/tallercarssystem/?locale=es_LA
Taller de Latonería y Pintura en Medellin - Cars System & Spa,"Cra. 65 #31 - 35, Medellín, Belén, Medellín, Antioquia",'+573114009045,https://www.instagram.com/carssystem__,https://www.facebook.com/tallercarssystem/?locale=es_LA
A&C Taller Automotriz Medellín,"San Fernando, Medellín, Guayabal, Medellín, Antioquia",'+576043611815,https://www.instagram.com/taller_automotrizayc/,http://facebook.com/J3Automotriz
A&C Taller Automotriz Medellín,"San Fernando, Medellín, Guayabal, Medellín, Antioquia",'+576043611815,https://www.instagram.com/taller_automotrizayc/,http://facebook.com/J3Automotriz
Milán Automotriz Taller Mecánico,"Cl. 51 #69-11, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+573506910997,https://www.instagram.com/milan_automotriz/?locale=zh_CN&hl=bg,http://facebook.com/J3Automotriz
Milán Automotriz Taller Mecánico,"Cl. 51 #69-11, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+573506910997,https://www.instagram.com/milan_automotriz/?locale=zh_CN&hl=bg,http://facebook.com/J3Automotriz
"Mecánico a Domicilio,medellin A2P taller automotriz","Cra 88 #43-20, Santa Monica, Medellín, La América, Medellín, Antioquia",'+573117557219,https://www.instagram.com/a2pmecanicaautomotriz,https://www.facebook.com/a2ptaller/
"Mecánico a Domicilio,medellin A2P taller automotriz","Cra 88 #43-20, Santa Monica, Medellín, La América, Medellín, Antioquia",'+573117557219,https://www.instagram.com/a2pmecanicaautomotriz,https://www.facebook.com/a2ptaller/
Car Up Taller Automotriz,"Cl. 21 #77-31, Medellín, Belén, Medellín, Antioquia",'+573022458339,https://www.instagram.com/carup_automotriz/,https://www.facebook.com/carupautomotriz
Car Up Taller Automotriz,"Cl. 21 #77-31, Medellín, Belén, Medellín, Antioquia",'+573022458339,https://www.instagram.com/carup_automotriz/,https://www.facebook.com/carupautomotriz
Taller automotriz la garantia,"Cl. 70 #49-47, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",'+573148876324,https://www.instagram.com/tallerautomotrizlagarantia/,http://facebook.com/J3Automotriz
Taller automotriz la garantia,"Cl. 70 #49-47, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",'+573148876324,https://www.instagram.com/tallerautomotrizlagarantia/,http://facebook.com/J3Automotriz
Taller Automotriz Repar-Cars Medellín,"Cra. 52 # 1-30, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+573214054614,https://www.instagram.com/tallermotortek/,http://facebook.com/J3Automotriz
Taller Automotriz Repar-Cars Medellín,"Cra. 52 # 1-30, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+573214054614,https://www.instagram.com/tallermotortek/,http://facebook.com/J3Automotriz
On Service Automotriz,"Cl. 11 #43F - 126 int 02, El Poblado, Medellín, El Poblado, Medellín, Antioquia",'+573186953429,https://www.instagram.com/onserviceautomotriz_117/?hl=es,https://www.facebook.com/onservice117/
On Service Automotriz,"Cl. 11 #43F - 126 int 02, El Poblado, Medellín, El Poblado, Medellín, Antioquia",'+573186953429,https://www.instagram.com/onserviceautomotriz_117/?hl=es,https://www.facebook.com/onservice117/
Mecanico a domicilio Medellín,"Cl. 41 #42-07, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573105451817,https://www.instagram.com/mec.a.domicilio/,https://www.facebook.com/autodom.medellin
Mecanico a domicilio Medellín,"Cl. 41 #42-07, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573105451817,https://www.instagram.com/mec.a.domicilio/,https://www.facebook.com/autodom.medellin
Centro Automotriz Ramiro Hoyos,"Cl. 51 #67 164, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+576045017458,https://www.instagram.com/tallermotortek/,http://facebook.com/J3Automotriz
Centro Automotriz Ramiro Hoyos,"Cl. 51 #67 164, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+576045017458,https://www.instagram.com/tallermotortek/,http://facebook.com/J3Automotriz
Taller mecánico Medellín Autolab,"Cra. 41 #35 SUR 45, Zona 9, Envigado, Antioquia",'+573009121133,https://www.instagram.com/tallermotortek/,http://facebook.com/J3Automotriz
Taller mecánico Medellín Autolab,"Cra. 41 #35 SUR 45, Zona 9, Envigado, Antioquia",'+573009121133,https://www.instagram.com/tallermotortek/,http://facebook.com/J3Automotriz
TALLER AUTOMOTRIZ J3,"Cra 44, El Poblado, Medellín, El Poblado, Medellín, Antioquia",'+573195234249,https://www.instagram.com/tallermotortek/,https://www.facebook.com/J3Automotriz/
TALLER AUTOMOTRIZ J3,"Cra 44, El Poblado, Medellín, El Poblado, Medellín, Antioquia",'+573195234249,https://www.instagram.com/tallermotortek/,https://www.facebook.com/J3Automotriz/
Taller de Mecánica Gocar,"Cra. 65 #16A-23, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+5742657150,https://www.instagram.com/tallermotortek/,http://facebook.com/J3Automotriz
Taller de Mecánica Gocar,"Cra. 65 #16A-23, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+5742657150,https://www.instagram.com/tallermotortek/,http://facebook.com/J3Automotriz
Motortek Medellin Taller Automotriz - Taller Ruta 4,"Cl. 21A #7678, Medellín, Belén, Medellín, Antioquia",'+573017814195,https://www.instagram.com/motortekmedellin/,http://facebook.com/J3Automotriz
Motortek Medellin Taller Automotriz - Taller Ruta 4,"Cl. 21A #7678, Medellín, Belén, Medellín, Antioquia",'+573017814195,https://www.instagram.com/motortekmedellin/,http://facebook.com/J3Automotriz
